label,cleaned_message
spam,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 1 50 sp tyrone
spam,thanks ringtone order ref number r836 mobile charged 4 50 tone arrive please call customer service phone 4
ham,jay say double faggot
ham,u download fring app
spam,selected 10000 cash prize call now
ham,dare stupid wont tell anything hear wont talk
ham,going try 2 month ha ha joking
ham,call u finish come n pick u
ham,dont gimme lip caveboy
spam,getting touch folk waiting company txt back name age opt enjoy community 150p sm
spam,500 weekly contest
spam,get free mobile video player free movie collect text go 89105 free extra film ordered c apply 18 yr
spam,limited offer 55 phone
ham,smoking people use wylie smoke much justify ruining shit
spam,urgent please update paypal information
ham,significance
ham,sorry call later message urgent
spam,special offer get 70 speaker
ham,mathews tait edward anderson
ham,sorry man account dry would want could trade back half could buy shit credit card
ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
spam,loan purpose 500 75 000 homeowner tenant welcome previously refused still help call free 0 phone
ham,belive come home
spam,free camera phone linerental 4 49 month 750 cross ntwk min 1 2 price txt bundle deal also avble call phone 2
ham,haha really oh deduct lesson tmr
ham,like jerk
ham,dear take care reaching home love u lot
ham,shall fine avalarr hollalater
spam,message amazon click read
spam,new textbuddy chat 2 horny guy ur area 4 25p free 2 receive search postcode gaytextbuddy com txt one name 89693
spam,selected 100 cash prize call now
spam,ur balance 600 next question complete landmark big bob b barry c ben text b c 83738 good luck
spam,email game thedailydraw dear helen dozen free game great prizeswith
spam,free msg billed mobile number mistake shortcode 83332 please call phone 0 charge refunded call free bt landline
spam,free entry weekly draw reply enter enter
ham,dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing
spam,message important information o2 user today lucky day 2 find log onto url fantastic surprise awaiting
ham,happening gotten job begun registration permanent residency
spam,cash prize 50000
ham,x course 2yrs message messenger lik r sending
spam,congratulation ipad pro
spam,noida hottest property express way today home ridge residency sec 135 with2 3 4 bhk available 2370p sq ft query call phone
spam,freemsg replied text randy sexy female live local luv hear u netcollex ltd phone 0150p per msg reply stop end
spam,next amazing xxx picsfree1 video sent enjoy one vid enough 2day text back keyword picsfree1 get next video
ham,fret buy ovulation test strip send wont get til like march send postal address u alright okay
spam,100000 holiday contest
ham,yes glad made
spam,credit card need immediate attention
ham,wait 4 inside da car park
spam,special offer get 50 gaming console
spam,claim 1000 bonus now offer expires today
spam,4mths half price orange line rental latest camera phone 4 free phone 11mths call mobilesdirect free phone 7 update or2stoptxt
spam,life never much fun great came made truly special forget enjoy one gbp sm
spam,special offer get 55 watch
spam,important message westpac safety customer due recent covid 19 virus customer required review update personal detail unable use westpac service done please go http westpac mobile cc 2update call u 132 032
ham,valentine huh proof fb page ugh glad really watch rupaul show tool
ham,still pretty weak today bad day
spam,u get 2 phone wanna chat 2 set meet call phone 6 u cum 2moro luv jane xx call 1 minmoremobsemspobox45po139wa
spam,want new nokia 3510i colour phone delivered tomorrow 200 free minute mobile free camcorder reply call phone
spam,believe true incredible txts reply g learn truly amazing thing blow mind
ham,anything special
spam,england v macedonia dont miss goal team news txt ur national team 87077 eg england 87077 try wale scotland 4txt 1 20 poboxox36504w45wq 16
ham,think da wil
spam,loan amount 500 75 000 homeowner tenant welcome previously refused still help call free 0 phone text back help
ham,hungry buy smth home
spam,limited offer 75 camera
spam,winner selected rolex watch
spam,nterested keep nokia secure theft f secure mobile security download free trial url
spam,sunshine quiz wkly q win top sony dvd player u know country liverpool played mid week txt ansr 82277 1 50 sp tyrone
spam,price revising soon agni property recommends spaze privy address sec 93 gurgaon 28 lac onwards 2 3 4 bhk apts available book call phone
spam,100000 seasonal contest
spam,congratulation week competition draw u 1450 prize claim call phone 2 c stop sm phone 8
ham,need get
spam,congratulation macbook pro
spam,registered optin subscriber ur draw 4 100 gift voucher entered receipt correct 80062 whats no1 bbc chart
spam,want explicit sex 30 sec ring phone 4 cost 20p min
ham,ranjith cal drpd deeraj deepak 5min hold
spam,hi 2nights ur lucky night uve invited 2 xchat uk wildest chat txt chat 86688 150p msgrcvdhg suite342 2lands row w1j6hl ldn 18yrs
ham,blanket sufficient thx
spam,tb persolvo chasing u since sept 38 definitely paying thanks information ignore kath manchester
ham,mm food da
ham,yeah think usual guy still passed last night get ahold anybody let know throw
spam,dear paytm customer paytm kyc suspended pay tm office ph phone paytm c block within 24hr thank
spam,claim 200 shopping spree call phone 8 mobstorequiz10ppm
spam,2nd attempt contract u week top prize either 1000 cash 200 prize call phone 1
ham,u still going mall
spam,500 national contest
ham,oh ho first time u use type word expected
ham,fighting world easy either win lose butt fightng someone close u dificult u lose u lose u win u still lose
ham,abj serving staying dad alone
spam,88066 lost 12 help
ham,part checking iq fun
ham,well general price lt gt oz let know much want
spam,special offer get 50 drone
ham,head straight
ham,yo around friend mine lookin pick later tonight
spam,win year supply cd 4 store ur choice worth 500 enter 100 weekly draw txt music 87066 c url
ham,computer fried essential part keep spare idiot roommate looovvve leaving thing running full lt gt 7
spam,4mths half price orange line rental latest camera phone 4 free phone 11mths call mobilesdirect free phone 8 update
ham,going bath msg next lt gt min
spam,special offer get 80 headphone
spam,limited time offer get 90 product
spam,u r subscribed 2 textcomp 250 wkly comp 1st wk free question follows subsequent wks email unsubscribe txt stop 2 84128 custcare phone 0
ham,want kiss feel next
ham,said look pretty wif long hair wat thk cutting quite short 4 leh
spam,44 phone want new nokia 3510i colour phone deliveredtomorrow 300 free minute mobile 100 free text free camcorder reply call phone 5
spam,splashmobile choose 1000 gr8 tone wk subscrition service weekly tone costing 300p u one credit kick back enjoy
ham,da vijay going talk jaya tv
ham,sweet heart
spam,missed call alert number called left message phone 0
ham,thank way lost
ham,big difference lt gt versus lt gt every lt gt hr
spam,4 costa del sol holiday 6000 await collection call phone 5 toclaim sae tc pobox334 stockport sk38xh cost 1 50 pm max10mins
ham,place man u hv perform
ham,hey loverboy love tell look picture want need crave
ham,u dun wan u dun like already ah wat u still eating
ham,nothing ok anyway give treat
spam,limited offer 45 phone
ham,brother genius
ham,thanx birthday already
ham,attended nothing
ham,plan
spam,bmo noticed unusual activites online account required verify account detail url
spam,exclusive deal 55
ham,ok vl u know got adsense approved
spam,urgent trying contact u today draw show 800 prize guaranteed call phone 9 land line claim m95 valid12hrs
spam,free phone purchase limited time
ham,necessarily respectful
spam,last chance 2 claim ur 150 worth discount voucher text yes 85023 savamob member offer mobile c phone 5 3 00 sub 16 remove txt x stop
ham,lov line hurt truth mind wil tolerat bcs ur someone never comfort lie gud ni8 sweet dream
spam,nokia 7250i take part send nokia 86021 hg suite342 2lands row w1jhl 16
spam,text82228 get ringtones logo game url question email
spam,urgent please call regarding protection
ham,dip cell dead coming u better respond else shall come back
ham,dont use hook
ham,hello darlin ive finished college txt u finish u love kate xxx
ham,taking derek amp taylor walmart back time done leave mouse desk text priscilla ready
ham,two fundamental cool life walk like king walk like dont care whoever king gud nyt
spam,hi babe chloe r u smashed saturday night great weekend u missing sp visionsms com text stop stop 150p text
spam,urgent call phone 0 landline complimentary 4 ibiza holiday 10 000 cash await collection sae c po box 434 sk3 8wp 150 ppm 18
spam,moby pub quiz win 200 high street prize u know new duchess cornwall txt first name 82277
spam,guess somebody know secretly fancy wanna find give u call phone 3 landline datebox1282essexcm61xn 150p min 18
ham,look amy ure beautiful intelligent woman like u lot know u like like worry
spam,wellness profile health checkup thyrocare cover heart thyroid kidney liver diabetes 63 wellness test home service 33 disc phone 4
ham,short cute good person dont try prove good morning
spam,ur cash balance currently 500 pound maximize ur cash send collect 83600 150p msg cc phone 1 po box 114 14 tcr w1
spam,free msg billed mobile number mistake shortcode 83332 please call phone 0 charge refunded call free bt landline
ham,want show world princess europe
ham,bishan lei tot say lavender
spam,netflix need immediate attention
spam,discount code rp176781 stop message reply stop url customer service phone 6
spam,private 2003 account statement phone 4 show 800 un redeemed point call phone 1 identifier code 41782 expires 18 11 04
ham,help propose going back tomorrow
ham,surprised still guess right lor
spam,please complete registration process using service code 943 tid phone 38
ham,today love u day send dis ur valued frnds evn 3 come back u gt married person u luv good luck
spam,account alert facebook requires verification
ham,ok popped ask bout something said around tonght wen girl come
spam,limited time offer get 90 product
spam,apple id buxcx7gbvwwccod final notification apple 1d due expire today prevent confirming apple id url apple inc
ham,sorry call later night
ham,received
ham,dont send plus mode
ham,thats cool sometimes slow gentle sonetimes rough hard
ham,wat time liao still got
spam,atm block dear customer due system upgrade atm card bl0cked activate call customer care help phone
spam,special offer get 70 headphone
ham,pls accept one day begging change number
ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection
spam,limited offer 65 drone
spam,limited offer 30 headphone
ham,boy late 2 home father welcome
ham,pleased inform application airtel broadband processed successfully installation happen within 3 day
spam,limited offer 65 speaker
ham,whore unbelievable
ham,7 go ok na
spam,limited time offer get 65 product
spam,pdate double min 1000 txts orange tariff latest motorola sonyericsson nokia bluetooth free call mobileupd8 phone 2 call2optout yhl
spam,urgent please update gmail information
spam,mobile 10 mths update latest orange camera video phone free save free text weekend call text yes callback orno opt
spam,2nd time tried 2 contact u u 750 pound prize 2 claim easy call phone 0 10p per min bt national rate
ham,late
ham,water logging desert geoenvironmental implication
spam,recpt 1 3 ordered ringtone order processed
ham,easy ah sen got selected mean good
spam,limited offer 65 speaker
ham,oh ho first time u use type word
ham,let go park weekend
ham,jay getting really impatient belligerent
spam,5000 grand contest
spam,girl bba mba executive mba b sc bio tech b tech flexible timing govt recognized url join bsaitm vikaspuri phone phone
spam,congratulation cash click claim
ham,huh early dinner outside izzit
spam,dear customer due bvn system upgrade atm card de activated cbn activate call customer care phone 8 help
ham,dice art class 6 thru 9 thanks though idea time come tomorrow
spam,500 seasonal contest
spam,private 2003 account statement phone 0 show 800 un redeemed point call phone 9 identifier code 40533 expires 31 10 04
ham,let know got money carlos make call
spam,rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try
ham,hey gave photo registered driving ah tmr wanna meet yck
ham,thinking u x
spam,u r entitled update latest colour mobile camera free call mobile update co free phone 0
ham,oh really perform write paper go movie home midnight huh
spam,2000 grand contest
spam,special offer get 80 camera
spam,sm ac blind date 4u rodds1 21 aberdeen united kingdom check url sm ac w icmb3cktz8r7 4 blind date send hide
ham,wife
spam,last chance claim ur 150 worth discount voucher today text shop 85023
ham,want grasp pretty booty
spam,free2day sexy st george day pic jordan txt pic 89080 dont miss every wk saucy celeb 4 pic c pocketbabe co uk phone 716 3 wk
ham,oh grand bit party mention cover charge probably first come first served
spam,ur balance 500 ur next question sang uptown girl 80 2 answer txt ur answer 83600 good luck
ham,howz pain hope u r fine
ham,free call pa
ham,die accidentally deleted e msg suppose 2 put e sim archive haiz sad
spam,next amazing xxx picsfree1 video sent enjoy one vid enough 2day text back keyword picsfree1 get next video
ham,indeed way either
spam,bankofamerica alert 137943 please follow url activate
spam,u get 2 phone wanna chat 2 set meet call phone 6 u cum 2moro luv jane xx call 1 minmoremobsemspobox45po139wa
ham,wanted ask wait 4 finish lect co lect finish hour anyway
spam,promotion number 8714714 ur awarded city break 200 summer shopping spree phone 4
ham,hey elaine today meeting still
ham,text way cup stop work bus
spam,ur chance win 250 wkly shopping spree txt shop 80878 c url
ham,dear tanu going talk surya tv
spam,limited offer 65 gaming console
ham,sure checking happening around area
spam,received 50000 refund please verify
spam,oor step service passport assistance pan card income tax return vat return service tax return contact ons phone jwala heri mkt paschim viha
ham,neva mind ok
ham,dance river
spam,please call amanda regard renewing upgrading current mobile handset free charge offer end today tel 0 phone subject c
spam,selected 500 cash prize call now
ham,need coz never go
ham,got meh
spam,debit card requires security verification
ham,hello little party animal thought buzz friend grin reminding loved send naughty adoring kiss
ham,anything lar
ham,ur pin
spam,new tone week include 1 mcfly ab 2 sara jorge shock 3 smith switch order follow instruction next message
ham,fwiw reason around time smoke gas afford around someone tell apparently happens somebody want light
ham,ok ok take care understand
ham,crucify c told earlier
spam,special offer get 60 gaming console
ham,finished eating got u plate leftover time
ham,dont search love let love find u thats called falling love bcoz u dont force u fall u know smeone hold u bslvyl
ham,pls give food preferably pap slowly load sugar take hour give water slowly
spam,congratulation selected tv
ham,think need going late school night especially one class one missed last wednesday probably failed test friday
ham,gonna home soon want talk u anymore tonight cried enough today
spam,urgent facebook compromised verify now
spam,special offer get 65 phone
spam,want new nokia 3510i colour phone deliveredtomorrow 300 free minute mobile 100 free text call phone 5
spam,buy space invader 4 chance 2 win orig arcade game console press 0 game arcade std wap charge see o2 co uk game 4 term setting purchase
ham,company good environment terrific good
ham,r e meeting tmr
spam,freemsg hey u got 1 video pic fones reply wild txt ill send u pic hurry im bored work xxx 18 150p rcvd stop2stop
ham,k k also fine complete course
spam,dont forget place many free request 1stchoice co uk wish information call phone 6
spam,claim 50000 bonus now offer expires today
spam,call phone 0 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 k
ham,xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas
spam,welcome please reply age gender begin e g 24m
ham,meet hiking tomorrow
ham,happy holiday hope great day
ham,hai dear friend new amp present number rajitha raj ranju
ham,sun anti sleep medicine
spam,urgent important information o2 user today lucky day 2 find log onto url fantastic surprise awaiting
ham,left dessert u wan 2 go suntec look 4 u
spam,2nd time tried 2 contact u u 750 pound prize 2 claim easy call phone 08 now1 10p per minute bt national rate
ham,youdoing later sar xxx
spam,winner selected laptop
ham,guy kadeem selling since break know one guy paranoid like selling without til late tonight
spam,sm ac blind date 4u rodds1 21 aberdeen united kingdom check url sm ac w icmb3cktz8r7 4 blind date send hide
ham,yesterday going home
spam,sunshine quiz win super sony dvd recorder canname capital australia text mquiz 82277 b
ham,japanese proverb one u none u must indian version one let none leave
spam,urgent please update debit card information
ham,lol busy
ham,home 9 15
spam,nationwide noticed debit card recently used 23 05 2012 11 04 43 apple online store 1920 00 gbp please urgently call fraud prevention phone 3 intl phone reply sm url
ham,promise though even gotten dinner yet
spam,want 750 anytime network min 150 text new video phone five pound per week call phone 2 reply delivery tomorrow
ham,yup lunch buffet u eat already
ham,getting back home
ham,felt conveying reason ese
ham,hey sexy bun day word morning ym think
ham,ow u dey paid 60 400thousad told u would call
spam,please call customer service representative phone 10am 9pm w0n guaranteed cash prize r 7 00 000 fl1pkart team
spam,free entry 250 weekly comp send word enter 84128 18 c url cust care phone 0
ham,pls convey birthday wish nimya today birthday
spam,message target click read
spam,contacted dating service someone know find call mobile landline phone 5 pobox75ldns7
spam,10000 grand contest
ham,new deus ex game comin early next yr
ham,random saw old roomate campus graduated
ham,lol know awesome phone could click delete right want
ham,yunny goin late
ham,tell u headache want use 1 hour sick time
spam,refer pg 2 today hindustan time universal group launch shop market square golf course extn road gurgaon vishal batra investment phone
spam,winner selected tablet
spam,congratulation diamond ring
ham,dude teresa hope okay didnt hear people called received package since dec lt gt thot ld like know fantastic year best reading plus really really bam first aid usmle work done
spam,10000 weekly contest
ham,talk
ham,prepare pleasured
ham,started skye
ham,appt lt time gt fault u listen told u twice
ham,well might come
spam,urgent dear fl1pkart customer trying contact last weekend draw show w0n r 7 00 000 prize guaranteed call phone claim code l92 valid 12hrs
spam,important message paypal
spam,account credited 500 free text message activate call phone 4
ham,great trip india bring light everyone project everyone lucky see smile bye abiola
spam,dear customer warranty subscription expired
spam,18 day euro2004 kickoff u kept informed latest news result daily unsubscribe send get euro stop 83222
spam,special offer get 30 tv
spam,freemsg 1 month unlimited free call activate smartcall txt call 68866 subscriptn3gbp wk unlimited call help phone 4 stop txt stop landlineonly
ham,right think
spam,subscription expire renew now
spam,majestic mountain calm beach adventure holiday quiet getaway manali ooty puri munnar holiday 25 year emis frm r 2366 c phone
ham,yo carlos friend already asking working weekend
spam,dear paytm customer paytm kyc suspended paytm office ph phone account block within 24 hour thank paytm team
spam,urgent please call regarding phone
ham,happen dear tell
ham,meeting u work tel shall work tomorrow matter
ham,need say anything know outsider
ham,meant middle left right
ham,78 mca conform
ham,oh kay sat right
spam,account alert bank account requires verification
spam,special offer 65
spam,2nd time tried contact u u 1450 prize claim call phone 5 b4 310303 c stop sm phone 6 140ppm
spam,valued customer pleased advise following recent draw mobile awarded r 10 00 000 bonus prize call phone
spam,englishvocabulary ululate mourn loudly shrilly ad unlimited free call mobile try today url share wid frnd
ham,way going back
ham,v nice 2 sheffield tom 2 air opinion category 2 b used 2 measure ethnicity next census busy transcribing
ham,haha awesome might need take doin tonight
spam,regret inform nab card locked unlock please update security detail url
spam,limited offer 65 laptop
ham,reverse cheating mathematics
ham,wait till end march el nino get oh
spam,limited offer 50 camera
ham,uncle atlanta wish guy great new year
spam,today vodafone number ending 5263 selected receive r 2 00 000 award match please call phone quoting claim code 4267 standard rate apply
spam,know u u know send chat 86688 let find 150p msg rcvd hg suite342 2lands row w1j6hl ldn 18 year
spam,6171 rmo 00 aeon r 4399 charged card num 97 lazo klia2 19 10 2016 call phone perform txn code356931
spam,important information 4 orange user today lucky day 2find log onto url fantastic surprise awaiting
ham,prasanth ettans mother passed away last night pray soul
ham,u dun wan u dun like already ah wat u still eating
spam,bank card need immediate attention
spam,free entry weekly draw reply win enter
ham,tmr timin still da wat co got lesson 6
ham,yet chikku k wat abt tht guy stopped irritating msging u
ham,suck got planned yo valentine yo valentine
spam,cash prize 1000
spam,15000 international contest
spam,hi steven malone identified unusual activity account log via secure ink avoid account suspension http l natwestauth xyz
ham,ok april cant wait
spam,u r subscribed 2 textcomp 250 wkly comp 1st wk free question follows subsequent wks email unsubscribe txt stop 2 84128 custcare phone 0
ham,da run activate full version da
ham,mind blastin tsunami occur rajnikant stopped swimming indian ocean
spam,willing live local text reply hear strt back 150p per msg netcollex ltdhelpdesk phone 2 reply stop end
spam,mobile club choose top quality item mobile 7cfca1a
spam,limited offer 65 speaker
ham,nothing ever easy looking reason take risk life love
ham,anything lor
spam,2000 international contest
spam,forwarded phone 00 please call phone 0 immediately urgent message waiting
ham,see swing bit got thing take care firsg
ham,nosy guess idk reacting freaked
spam,collect valentine weekend paris inc flight hotel 200 prize guaranteed text paris 69101 url
spam,enjoy jamster videosound gold club credit 2 new videosounds 2 logo musicnews get fun jamster co uk 16 help call phone 6
ham,joining today formally pls keep praying talk later
spam,limited offer 30 phone
ham,much eighth
spam,want new nokia 3510i colour phone deliveredtomorrow 300 free minute mobil free camcorder reply call phone 5
spam,1000 international contest
spam,reminder o2 get 2 50 pound free call credit detail great offer pls reply 2 text valid name house postcode
spam,valued customer pleased advise following recent review mob awarded 1500 bonus prize call phone 0
spam,local covid19 study compensation 1 220 qualify 1200cash4study1 com
ham,k k watch film
spam,500 new mobile 2004 must go txt nokia 89545 collect today 1 url 2optout phone 01 50gbp mtmsg18
spam,urgent please update netflix information
spam,special offer get 40 drone
spam,hello orange 1 month free access game news sport plus 10 free text 20 photo message reply yes term apply url
spam,5000 national contest
ham,said anything wrong sorry de
ham,hey babe going ever figure going new year
spam,gov uk alert coronavirus come attention house due irresponsible behaviour issuing formal warning 250 fine continues fine could increase maximum 5000 arrest payment taken automatically account call 0 phone enquiry appeal
ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,forwarded 21870000 hi mailbox messaging sm alert 40 match please call back phone 9 retrieve message match cc100p min
ham,way put skip right outside front house see house pull
ham,hey forget mine possession property mmm childish smile
ham,feathery bowa something guy know
spam,win winner mr tilo ipod exciting prize soon keep eye ur mobile visit url
spam,bank alert atm card blocked call immediately
spam,chance reality fantasy show call phone 0 20p per min ntt ltd
ham,congratulation promotion
ham,chennai velachery
ham,ic lotta childporn car
ham,wishing wonderful week
ham,used hope agent drop since booked thing year whole boston nyc experiment
spam,urgent twitter compromised verify now
spam,free camera phone linerental 4 49 month 750 cross ntwk min 1 2 price txt bundle deal also avble call phone 2
ham,u want 2 meet 2morro
spam,congratulation tv click claim
spam,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277
ham,remains bro amongst bros
spam,private 2003 account statement phone 0 show 800 un redeemed point call phone 9 identifier code 40411 expires 06 11 04
ham,uncle atlanta wish guy great new year
ham,coming home 4 dinner
ham,den wat e schedule b lk sun
spam,congratulation iphone 15
spam,guaranteed 1000 cash 2000 prize claim yr prize call customer service representative phone 3
spam,limited offer 65 watch
ham,well going aunty
spam,wanna laugh try chit chat mobile logon txting word chat send 8883 cm po box 4217 london w1a 6zf 16 118p msg rcvd
